Round 1;Round 2;Round 3;Round 4;Round 5;Round 6;Round 7;Round 8;Round 9;Round 10
987.681;1004.486;1005.023;1020.671;1049.793;1035.161;988.307;1090.306;1049.609;993.663
922.547;930.092;994.863;966.735;937.523;988.617;960.375;891.819;909.176;966.715
919.571;824.586;847.657;818.727;819.86;823.053;832.47;823.721;823.406;821.325
748.576;774.816;753.05;758.53;767.958;764.034;745.332;761.72;757.269;758.35
698.926;710.808;696.466;696.537;724.59;701.013;694.533;732.547;711.791;704.04
654.928;666.339;667.773;678.948;686.903;660.81;651.306;678.816;665.925;666.707
623.333;616.743;622.225;613.232;615.373;612.973;615.255;623.661;621.922;614.305
588.392;578.398;587.331;593.876;597.25;592.813;591.018;598.776;617.071;595.782
548.675;548.845;555.967;555.485;572.872;555.938;576.907;574.383;556.874;571.339
530.934;535.938;531.53;529.557;563.014;527.839;525.555;546.925;547.472;543.835
503.761;503.04;516.238;513.81;508.604;512.97;509.651;531.532;494.338;535.536
486.551;499.536;498.177;497.317;483.698;497.668;476.137;487.235;470.769;517.523
481.547;480.453;488.077;459.709;463.845;479.744;476.137;470.605;450.153;499.872
478.532;475.715;475.342;457.383;462.556;478.624;424.554;466.639;446.927;486.077
474.77;475.715;441.381;457.383;462.556;478.624;424.554;455.535;446.927;486.077
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
474.77;441.675;441.381;457.383;462.556;468.002;424.554;455.535;428.832;473.61
