Round 1;Round 2;Round 3;Round 4;Round 5;Round 6;Round 7;Round 8;Round 9;Round 10
673.125;623.614;550.238;556.829;585.19;551.838;663.184;631.103;525.776;592.143
659.878;604.068;550.238;556.829;581.682;551.838;613.772;581.613;525.776;497.946
594.392;596.452;550.238;556.829;581.682;551.838;613.772;581.613;525.776;497.946
594.392;596.452;550.238;556.829;581.438;551.838;592.068;545.453;491.101;497.946
594.392;596.452;550.238;556.829;581.438;551.838;592.068;545.453;491.101;497.946
594.392;596.452;550.238;556.829;581.438;551.838;592.068;545.453;491.101;497.946
594.392;586.228;491.602;556.829;581.438;551.838;592.068;545.453;491.101;497.946
594.392;586.228;491.602;556.829;581.438;551.838;592.068;545.453;491.101;497.946
557.98;586.228;491.602;556.829;581.438;551.838;592.068;545.453;491.101;497.946
557.98;586.228;491.602;556.829;581.438;551.838;565.137;545.453;491.101;497.946
557.98;586.228;491.602;556.829;581.438;551.838;565.137;545.453;491.101;497.946
557.98;586.228;491.602;556.829;577.587;551.838;565.137;545.453;491.101;497.946
557.98;586.228;491.602;556.829;577.587;551.838;514.963;545.453;491.101;497.946
557.98;586.228;491.602;556.829;577.587;551.838;514.963;545.453;491.101;497.946
557.98;583.401;491.602;556.829;561.636;551.838;514.963;545.453;491.101;497.946
557.98;556.913;491.602;556.829;561.636;551.838;514.963;536.72;491.101;497.946
557.98;501.384;491.602;543.593;561.636;500.641;514.963;536.72;491.101;497.946
557.98;501.384;491.602;543.593;561.636;500.641;514.963;536.72;491.101;497.946
522.824;501.384;491.602;543.593;561.636;500.641;514.963;536.72;491.101;497.813
522.824;501.384;473.003;543.593;561.636;500.641;514.963;536.72;491.101;497.813
522.824;501.384;473.003;543.593;561.636;500.641;514.963;536.72;491.101;497.813
522.824;501.384;473.003;543.593;561.636;500.641;514.963;536.72;491.101;497.813
522.824;501.384;473.003;543.593;561.636;500.641;514.963;504.466;491.101;497.813
522.824;501.384;473.003;543.593;530.468;500.641;514.963;504.466;491.101;497.813
522.824;501.384;473.003;543.593;530.468;500.641;514.963;504.466;491.101;497.813
522.824;501.384;473.003;532.514;530.468;500.641;514.963;504.466;491.101;497.813
522.824;501.384;473.003;532.514;530.468;500.641;514.963;504.466;491.101;497.813
522.824;501.384;473.003;532.514;530.468;500.641;514.963;504.466;491.101;497.813
481.723;501.384;473.003;532.514;515.646;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;515.646;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;515.646;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;515.646;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;515.646;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;515.646;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;500.641;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;491.822;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;491.822;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;491.822;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;491.822;502.041;461.938;491.101;497.813
481.723;501.384;473.003;532.514;496.355;491.822;502.041;461.938;491.101;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;491.101;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;491.101;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;491.101;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;532.514;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;502.041;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;478.971;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;478.971;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;478.971;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;478.971;461.938;484.429;497.813
481.723;481.303;473.003;498.27;496.355;491.822;478.971;461.938;484.429;497.813
