Round 1;Round 2;Round 3;Round 4;Round 5;Round 6;Round 7;Round 8;Round 9;Round 10
10.02;10.02;13.02;9.02;10.02;13.02;10.02;10.02;9.02;10.02
10.02;12.02;12.02;10.02;10.02;12.02;12.02;12.02;12.02;12.02
12.02;14.02;14.02;12.02;10.02;14.02;12.02;12.02;12.02;12.02
12.02;12.02;10.02;10.02;10.02;10.02;10.02;10.02;18.02;10.02
12.02;14.02;10.02;12.02;12.02;10.02;12.02;12.02;14.02;12.02
12.02;10.02;10.02;10.02;10.02;14.02;12.02;10.02;12.02;10.02
14.02;8.02;10.02;12.02;8.02;10.02;10.02;14.02;10.02;10.02
10.02;8.02;12.02;10.02;4.02;12.02;10.02;8.02;10.02;10.02
6.02;8.02;12.02;6.02;2.02;6.02;4.02;4.02;6.02;4.02
4.02;4.02;4.02;4.02;2.02;4.02;2.02;2.02;4.02;2.02
2.02;2.02;2.02;2.02;2.02;2.02;2.02;2.02;4.02;2.02
2.02;0.02;0.02;2.02;2.02;2.02;2.02;2.02;2.02;2.02
2.02;0.02;0.02;0.02;2.02;2.02;0.02;0.02;2.02;2.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;2.02;2.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
0.02;0.02;0.02;0.02;2.02;0.02;0.02;0.02;0.02;0.02
