Round 1;Round 2;Round 3;Round 4;Round 5;Round 6
1.01;0.01;1.01;1.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
0.01;0.01;0.01;0.01;0.01;0.01
